SentimentText
"Staff have always been very friendly. The line can be a bit much at times, but is always handled quickly.

The pitas themselves are always very good."
Yummdidily yum!
Chicken wrap was great
Chicken shawarma wrap has all the taste of shawarma without garlic aftertaste
